variable,sd,n_unique,missing_pct
tmb,318.80422960209194,169,0
age,9.881820533041912,44,0
tumor_size,1.5897846282968755,41,0
stage,0.8379511503166251,4,0
ecog_performance_score,0.7053027615070134,4,0
tissue_type_0nat_1tumor,0.5006623396730716,2,0
gender_0female_1male,0.4838014700037136,2,0
smoking_score,0.45302519060348245,115,0
alk_fusion_0no_1yes,0.17029455556338394,2,0
